,annual_return,annual_vol,sharpe_ratio,max_drawdown,positive_weeks
CEATLTD.NS,0.22224229407984625,0.3639949385583632,0.43744934260597174,-0.40969325475507046,0.4904214559386973
SCHNEIDER.NS,0.563571641177935,0.49196190643514703,1.0174744977908814,-0.4023106753058755,0.5172413793103449
SOLARINDS.NS,0.5319613446650242,0.36999227859105643,1.2674545505522625,-0.3183407994207307,0.5287356321839081
TCS.NS,-0.0010221712188593615,0.21950842731383932,-0.2917205480357032,-0.4457259849460834,0.4942528735632184
ACE.NS,0.41643800167386946,0.4286289131134336,0.8245478626514138,-0.5021093904484,0.5134099616858238
BRITANNIA.NS,0.11840200186855479,0.20495327740535824,0.2702521036705195,-0.26693296131309874,0.4904214559386973
UCOBANK.NS,0.2468202494581445,0.4628823323250585,0.39709293080876734,-0.6033469190647605,0.4444444444444444
CRAFTSMAN.NS,0.36767786928484814,0.3415537173892349,0.8919970894126225,-0.38709852820997503,0.5402298850574713
SBIN.NS,0.2456644566314987,0.2372655568688258,0.7698188963722614,-0.2255017540951283,0.5593869731800766
JMFINANCIL.NS,0.17291898514041779,0.4083547280944265,0.2691435413462736,-0.4785672351176824,0.5402298850574713
BATAINDIA.NS,-0.10942474167552654,0.25526374259561074,-0.675527544247801,-0.689400032603988,0.4444444444444444
UNIONBANK.NS,0.4207431426387648,0.383235991085279,0.9334462406052364,-0.3360870296053845,0.5555555555555556
POWERINDIA.NS,0.6837880979177487,0.45586783270903164,1.3617437026279147,-0.2902567765013906,0.5670498084291188
CARTRADE.NS,0.13921654353712692,0.48775284157313,0.15623403811602882,-0.7492422093518187,0.46360153256704983
NATCOPHARM.NS,0.11150720290087436,0.354003145084309,0.13698820498822362,-0.5381244438948775,0.4904214559386973
SUNTV.NS,0.11267512267284394,0.29551921531986053,0.16805057878724408,-0.41137974199926997,0.5172413793103449
IDEA.NS,0.12366941633227488,0.5661196078213361,0.10714426421320583,-0.6562325150818074,0.421455938697318
CAPLIPOINT.NS,0.3224366543037288,0.3796706971938077,0.6832860916725251,-0.3990115505056858,0.5210727969348659
BSE.NS,0.919820209612569,0.5598803823859184,1.5303398530695322,-0.5380024366112279,0.5517241379310345
TATASTEEL.NS,0.24124478593779122,0.3161691531512713,0.5637230471909033,-0.3850309324718715,0.5325670498084292
UNOMINDA.NS,0.33097149950335636,0.35440508226169287,0.7560798798305788,-0.31838105367076175,0.5134099616858238
ESCORTS.NS,0.2113418000830198,0.30176553020327307,0.4915367652743985,-0.33491828276455526,0.4942528735632184
DRREDDY.NS,0.08810880992060251,0.22534185769091356,0.11136795747657176,-0.3101784467067652,0.5670498084291188
MAPMYINDIA.NS,-0.03262643258345638,0.36219955198074805,-0.26405162445957153,-0.6656003362398172,0.39080459770114945
GRSE.NS,0.6669718192870098,0.5856323626762044,1.031293538887551,-0.5335211869742257,0.4942528735632184
ENGINERSIN.NS,0.28886807217548127,0.3921893201920602,0.5758829041272411,-0.46963260964809483,0.5325670498084292
GRAVITA.NS,0.6308014679821861,0.4669648453516017,1.2159127740313724,-0.4971051974955778,0.5478927203065134
AFFLE.NS,0.10541375173899162,0.3430609435980339,0.1235955448577197,-0.40066195206207833,0.4674329501915709
IIFL.NS,0.18361205247716458,0.4406033550851182,0.27371354210018983,-0.5366015885978677,0.5210727969348659
HAVELLS.NS,0.0614104533021465,0.2595321175121486,-0.006174550605928967,-0.4181005812872224,0.5287356321839081
GODFRYPHLP.NS,0.4844689869977489,0.46016971916130744,0.915870866666963,-0.4820039403890274,0.5095785440613027
INDUSINDBK.NS,0.018638632029966844,0.3404225887138323,-0.1303506786470168,-0.6074883601040368,0.5210727969348659
INDIGO.NS,0.24061982977452048,0.3174435915620069,0.5594911568540485,-0.3264601988006236,0.5057471264367817
JINDALSAW.NS,0.4429969156721959,0.4704739146929956,0.8076621387703556,-0.5812820763048019,0.5172413793103449
MAHABANK.NS,0.3150891913303619,0.37331921194788675,0.675229765217551,-0.4612736406820732,0.5325670498084292
NYKAA.NS,-0.01745580239849165,0.39017970897013676,-0.20623509640333362,-0.7030897311495306,0.40229885057471265
